split,method,seed,rows,task_success,critical_event_recall,wasted_attention,compute_cost,latency_violation,safety_violation,physical_regret,calibration_error
combined_hard_shift,uniform_attention_budget,4,168,0.28571,0.19306,0.66270,3.34686,0.32143,0.26786,0.50660,0.05576
combined_hard_shift,uniform_attention_budget,5,168,0.22619,0.18155,0.66964,3.33785,0.38690,0.36905,0.51743,0.05071
combined_hard_shift,uniform_attention_budget,6,168,0.24405,0.16798,0.69048,3.31469,0.25595,0.32143,0.52022,0.05209
physical_consequence_shift,active_perception_value,0,168,0.66071,0.52222,0.10536,3.97420,0.41667,0.17857,0.14750,0.14410
physical_consequence_shift,active_perception_value,1,168,0.64286,0.51195,0.09524,3.98302,0.37500,0.17262,0.15127,0.14439
physical_consequence_shift,active_perception_value,2,168,0.60714,0.48616,0.11399,3.97453,0.39881,0.18452,0.15709,0.14396
physical_consequence_shift,active_perception_value,3,168,0.58929,0.48546,0.14643,3.99405,0.43452,0.17262,0.16460,0.14096
physical_consequence_shift,active_perception_value,4,168,0.58333,0.49731,0.11200,3.98586,0.41667,0.16071,0.15590,0.14351
physical_consequence_shift,active_perception_value,5,168,0.60714,0.50498,0.09514,3.97985,0.41667,0.13690,0.14950,0.14508
physical_consequence_shift,active_perception_value,6,168,0.68452,0.49686,0.10744,3.95608,0.31548,0.13690,0.15501,0.14461
physical_consequence_shift,compute_adaptive_policy,0,168,0.50000,0.36304,0.40526,3.94408,0.36310,0.23214,0.32282,0.10083
physical_consequence_shift,compute_adaptive_policy,1,168,0.41071,0.34999,0.42153,3.95240,0.39286,0.22619,0.32412,0.10141
physical_consequence_shift,compute_adaptive_policy,2,168,0.49405,0.34328,0.41062,3.95732,0.39286,0.27381,0.31607,0.10295
physical_consequence_shift,compute_adaptive_policy,3,168,0.39286,0.36143,0.40129,3.91493,0.35714,0.21429,0.31880,0.10327
physical_consequence_shift,compute_adaptive_policy,4,168,0.47619,0.35679,0.38581,3.94716,0.36905,0.23810,0.31238,0.10451
physical_consequence_shift,compute_adaptive_policy,5,168,0.47619,0.36990,0.36369,3.92094,0.33333,0.24405,0.31535,0.10505
physical_consequence_shift,compute_adaptive_policy,6,168,0.44643,0.36717,0.37867,3.91489,0.34524,0.17262,0.31419,0.10415
physical_consequence_shift,embodied_consequence_budgeting,0,168,0.67262,0.56538,0.06548,3.95914,0.37500,0.11905,0.10602,0.15345
physical_consequence_shift,embodied_consequence_budgeting,1,168,0.71429,0.56339,0.03393,3.93273,0.30357,0.12500,0.10168,0.15659
physical_consequence_shift,embodied_consequence_budgeting,2,168,0.68452,0.54892,0.04405,3.96536,0.44643,0.17857,0.10568,0.15365
physical_consequence_shift,embodied_consequence_budgeting,3,168,0.70238,0.56356,0.04524,3.97198,0.40476,0.13095,0.10495,0.15530
physical_consequence_shift,embodied_consequence_budgeting,4,168,0.62500,0.55625,0.05119,3.99535,0.41071,0.13690,0.10507,0.15467
physical_consequence_shift,embodied_consequence_budgeting,5,168,0.67857,0.55853,0.03393,3.95326,0.37500,0.10714,0.10286,0.15536
physical_consequence_shift,embodied_consequence_budgeting,6,168,0.70833,0.55565,0.04196,3.93127,0.32738,0.10714,0.10535,0.15531
physical_consequence_shift,oracle_consequence_attention,0,168,0.73810,0.57228,0.05000,3.94130,0.35714,0.16071,0.09577,0.15432
physical_consequence_shift,oracle_consequence_attention,1,168,0.72619,0.56463,0.03095,3.93600,0.32143,0.13095,0.09708,0.15640
physical_consequence_shift,oracle_consequence_attention,2,168,0.66667,0.55154,0.03750,3.94601,0.39881,0.17262,0.10018,0.15518
physical_consequence_shift,oracle_consequence_attention,3,168,0.73214,0.56740,0.03363,3.95962,0.36905,0.16071,0.09691,0.15664
physical_consequence_shift,oracle_consequence_attention,4,168,0.73214,0.56048,0.04048,3.98050,0.38095,0.16071,0.09826,0.15563
physical_consequence_shift,oracle_consequence_attention,5,168,0.76190,0.56190,0.02738,3.94484,0.33333,0.14286,0.09823,0.15648
physical_consequence_shift,oracle_consequence_attention,6,168,0.70833,0.55582,0.04167,3.93749,0.31548,0.11310,0.09947,0.15604
physical_consequence_shift,risk_aware_attention,0,168,0.71429,0.52539,0.09524,3.96905,0.36905,0.12500,0.14279,0.14742
physical_consequence_shift,risk_aware_attention,1,168,0.74405,0.52335,0.08353,3.96970,0.35119,0.13690,0.14212,0.14745
physical_consequence_shift,risk_aware_attention,2,168,0.60714,0.49879,0.09881,3.98278,0.45238,0.16071,0.14570,0.14654
physical_consequence_shift,risk_aware_attention,3,168,0.68452,0.51588,0.09990,3.97499,0.36310,0.17857,0.14139,0.14903
physical_consequence_shift,risk_aware_attention,4,168,0.69048,0.51533,0.08244,3.97845,0.39881,0.11310,0.13843,0.14912
physical_consequence_shift,risk_aware_attention,5,168,0.57738,0.50525,0.08750,3.96815,0.37500,0.14881,0.14257,0.14927
physical_consequence_shift,risk_aware_attention,6,168,0.70238,0.51486,0.09018,3.96592,0.36310,0.16071,0.13944,0.14859
physical_consequence_shift,token_salience_transformer,0,168,0.11905,0.07882,0.84087,3.98667,0.43452,0.37500,0.63306,0.03515
physical_consequence_shift,token_salience_transformer,1,168,0.08929,0.07405,0.85595,4.00132,0.45833,0.37500,0.64311,0.03268
physical_consequence_shift,token_salience_transformer,2,168,0.13095,0.07750,0.84454,4.00816,0.52381,0.37500,0.63614,0.03608
physical_consequence_shift,token_salience_transformer,3,168,0.10714,0.08059,0.84087,3.99226,0.44048,0.32738,0.63357,0.03480
physical_consequence_shift,token_salience_transformer,4,168,0.16071,0.07997,0.83433,3.99586,0.47024,0.28571,0.63459,0.03499
physical_consequence_shift,token_salience_transformer,5,168,0.14881,0.07817,0.83006,4.01251,0.49405,0.38095,0.64607,0.03645
physical_consequence_shift,token_salience_transformer,6,168,0.12500,0.08961,0.82024,4.01698,0.52976,0.34524,0.62903,0.03531
physical_consequence_shift,uncertainty_attention,0,168,0.25595,0.20712,0.59871,3.98950,0.44048,0.30952,0.46448,0.07012
physical_consequence_shift,uncertainty_attention,1,168,0.26786,0.21295,0.57381,4.00540,0.49405,0.32738,0.45271,0.07359
physical_consequence_shift,uncertainty_attention,2,168,0.25000,0.19883,0.60476,4.02243,0.51786,0.26190,0.46382,0.07021
physical_consequence_shift,uncertainty_attention,3,168,0.27381,0.20538,0.59474,3.99870,0.44048,0.31548,0.45223,0.07337
physical_consequence_shift,uncertainty_attention,4,168,0.29167,0.20140,0.58810,4.00003,0.50000,0.27381,0.46246,0.07131
physical_consequence_shift,uncertainty_attention,5,168,0.29762,0.20837,0.57649,3.98423,0.47619,0.31548,0.45737,0.07354
physical_consequence_shift,uncertainty_attention,6,168,0.27381,0.21218,0.58413,4.04350,0.60714,0.32143,0.45168,0.07112
